,abstract,title,matches,count_matches
19,"To produce early flowering genotypes, plum (Prunus domestica) was transformed with the poplar (Populus trichocarpa) Flowering Locus T1 (PtFT1) gene. Ectopic expression of 35S::PtFT1 Induced early flowering in vitro from transgenic plantlets within two months of transformation. When the transgenic plum plants were rooted and transferred to soil and grown in posts in the growth chamber, a number of additional lines flowered. Normal flowering and fruiting were observed in the greenhouse within one year of transformation. While dormancy was not necessary for growth or fruiting, FT plums were still winter hardy and floral bud set and flowering responded normally to changes in temperature. By manipulating a single gene, temperate tree crops can be effectively engineered for cultivation in new growing areas and for entirely new modes of agricultural production that are continuous, sustainable, and adaptable to climate change.",Development of very early flowering and normal fruiting plum with fertile seeds,"'cultivation', 'agricultural'",2
1136,"A process is described for the production of formaldehyde, comprising (a) subjecting methanol to oxidation with air in a formaldehyde production unit thereby producing a formaldehyde-containing stream; (b) separating said formaldehyde-containing stream into a formaldehyde product stream and a formaldehyde vent gas stream; wherein the vent gas stream, optionally after treatment in a vent gas treatment unit, is passed to one or more stages of: (i) synthesis gas generation, (ii) carbon dioxide removal, (iii) methanol synthesis or (iv) urea synthesis.",Process for the production of formaldehyde,,0
1318,"Membranes, methods of making the membranes, and methods of using the membranes are described. The membranes can comprise a support layer, and a selective polymer layer disposed on the support layer. The selective polymer layer can comprise an oxidatively stable carrier dispersed within a hydrophilic polymer matrix. The oxidatively stable carrier can be chosen from a quaternary ammonium hydroxide carrier (e.g., a mobile carrier such as a small molecule quaternary ammonium hydroxide, or a fixed carrier such as a quaternary ammonium hydroxide-containing polymer), a quaternary ammonium fluoride carrier (e.g., a mobile carrier such as a small molecule quaternary ammonium fluoride, or a fixed carrier such as a quaternary ammonium fluoride-containing polymer), and combinations thereof. The membranes can exhibit selective permeability to gases. The membranes can selectively remove carbon dioxide and/or hydrogen sulfide from hydrogen and/or nitrogen. Further, the membranes can exhibit oxidative stability at temperatures above 100° C.",Membranes for gas separation,,0
1320,"Methods, systems, and computer programs are presented for automated detection and mitigation of Denial of Service (DoS) attacks. One method includes an operation for collecting traffic data from service network routers that provide users access to a service. The traffic data is applied to security rules to identify a blacklist of illegitimate users to be blocked. Further, the method receives from the one or more servers a whitelist with information regarding legitimate users and their geographical location. A safe blacklist is determined for each router based on the blacklist and the whitelist, and the respective safe blacklist is sent to each router. Legitimate users are not blocked from accessing the service, but an illegitimate user spoofing a legitimate user is blocked by the routers when trying to access the service from a geographic location that is not the geographic location of the legitimate user.",Dynamic denial of service detection and automated safe mitigation,,0
2059,"Disclosed are waveguide distortion mitigation devices that produce reduced group delay ripple in communication systems in which they are used. The devices comprise a first and second tapered waveguide sections, a first coupling device coupled to the first tapered waveguide section, and a second coupling device coupled to the second tapered waveguide section and the first waveguide coupling device. A waveguide isolator may optionally be coupled between the first and second waveguide coupling devices. The first and second coupling devices may comprise waveguide circulators or waveguide-hybrid couplers. The tapered waveguide sections may embody a single transition comprising a single waveguide wall, a single transition comprising two waveguide walls, or a plurality of transitions comprising a plurality of waveguide walls.",Waveguide distortion mitigation devices with reduced group delay ripple,,0
2119,"Emission event data of an object of interest is acquired with a detector comprising a plurality of rings defining corresponding slices. Also, an amount of motion for each of a plurality of segments is determined with one or more processing units, wherein each segment corresponds to less than an axial field of view (AFOV) of the detector. Further, motion mitigation is performed for segments for which the amount of motion satisfies a threshold to provide motion mitigated data, and not performed for segments for which the amount of motion does not satisfy the threshold to provide non-mitigated data. An image is reconstructed using the motion mitigated data and the non-mitigated data, and the image is displayed on a display.",Systems and methods for motion mitigation determinations,,0
2139,"There is provided a method for producing a resin particle capable of unprecedentedly realizing both excellent heat resistant keeping property and melting property. The present invention is a method for producing a resin particle (X) comprising the step of treating a resin particle (B) containing a resin (A) composed of a crystalline part (a) containing, as an essential constitutional component, a lactone ring-opening polymer (p), and a noncrystalline part (b), with liquid or supercritical carbon dioxide (C), and removing (C), wherein a heat of fusion measured by differential scanning calorimetry (DSC) of the obtained (X) satisfies the following relational formula (1):0≦H2/H1≦0.9  (1)[in the relational formula (1), H1 represents a measurement value of a heat of fusion (J/g) at the time of the initial temperature elevation measured by DSC; and H2 represents a measurement value of a heat of fusion (J/g) at the time of the second temperature elevation measured by DSC].",Resin particle and method for producing the same,,0
2161,"A catalyst for reforming a hydrocarbon gas using carbon dioxide and/or water vapor to react while restraining the deposition of carbon contains a NiO—Sr2TiO4 solid solution in which NiO is dissolved in Sr2TiO4. The ratio of NiO in the NiO—Sr2TiO4 solid solution is preferably of 2.2 to 13.5 parts by mol relative to 100 parts by mol of Sr2TiO4. A catalyst which can contain SrTiO3, SrCO3, and fine grains of Ni and/or NiO are also described. A method of manufacturing the same, and a method of manufacturing a synthesized gas.","Catalyst for reforming hydrocarbon gas, method of manufacturing the same, and method of manufacturing synthesized gas",,0
2577,"A process for preparing a particle comprising a biological molecule typically a DNA plasmid, and a carrier polymer, typically poly-lactic acid (PLA), in which an organic solvent solution of the biological molecule and the carrier polymer in an organic solvent medium, nearly saturated with the biological molecule, is prepared, then this solution is contacted with an antisolvent substance, typically supercritical carbon dioxide to separate a particle comprising the biological molecule and the carrier polymer. High loadings of the biological molecule in the particle can be achieved.",Process for preparing a particle comprising a biological molecule and a carrier polymer,,0
2599,"The invention generally relates to ventilation systems and methods, and more particularly to selectively configurable climate control systems and methods for use in data centers and the like. A device includes a support element and a plurality of ducts connected to the support element. The device also includes a manifold in fluid communication with each one of the plurality of ducts and a plurality of valves. Each respective one of the plurality of valves is associated with a respective one of the plurality of ducts. Moreover, there is at least one actuator operatively connected to the plurality of valves, which is structured and arranged to individually actuate each one of the plurality of valves.",System and method to redirect and/or reduce airflow using actuators,,0
2670,"The present invention relates to a process for producing lower olefinic hydrocarbons by oxidative dehydrogenation of paraffinic lower hydrocarbons. More particularly the present invention provides a process for converting a feedstream comprising a paraffinic lower hydrocarbon and carbon dioxide to a product stream comprising an olefinic lower hydrocarbon and synthesis gas in the presence of the catalyst composition La—Mn/inert support, wherein said catalyst composition comprises 1-10 mass % lanthanum and 1-10 mass % manganese and optionally 0.3-3 mass % alkali metal.",Process for oxidative dehydrogenation of paraffinic lower hydrocarbons,,0
2790,"An exhaust gas aftertreatment system for an internal combustion engine, particularly for a ship's diesel engine operated with heavy oil, has a SCR catalyst that uses ammonia as reductant. A nozzle is positioned upstream of the SCR catalyst viewed in flow direction of the exhaust gas. Using the nozzle, an aqueous urea solution is decomposed at a defined pressure and at a defined temperature to form water vapor, carbon dioxide and ammonia vapor such that ammonia evaporated by the nozzle is injected into the exhaust gas via the nozzle.",Exhaust gas aftertreatment system and method for exhaust gas aftertreatment,,0
2805,"Systems, methods, and apparatus are described that employ specially designed interference patterns to build an in-band side channel without degrading the effective throughput of the main channel. Transmitter and receiver pairs implement a two-stage dynamic interference mitigation scheme based on the partial connections in limited dimension MIMO interference channels. The first stage determines the stream assignments and the subspace constraints for beamforming vectors and zero-forcing vectors based on the partially connected topology such as the path loss, shadowing and spatial correlation. The second stage determines the beamforming vectors and the zero-forcing vectors based on the instantaneous channel state information over the subspaces obtained from the first stage. In an aspect, a controller device implements the first and second stage and assigns the transmitter and receiver pairs to perform interference alignment using the stream assignments and beamforming and zero-forcing vectors respectively.",Dynamic interference alignment for partially connected quasi-static MIMO interference channel,,0
2808,"The method of performing peak reduction and clipping mitigation provides a compressive sensing algorithm at the receiver of a peak-reducing sparse clipper applied to an OFDM signal at the transmitter. By exploiting the sparsity of the OFDM signal in the time domain relative to a pre-defined clipping threshold, the method depends on partially observing the frequency content of extremely simple sparse clippers to recover the locations, magnitudes, and phases of the clipped coefficients of the peak-reduced signal.",Method of performing peak reduction and clipping mitigation,,0
2810,"Polymeric foam and polymeric foam products that contain a foamable polymer material, at least one blowing agent, activated carbon, and water are provided. The activated carbon acts as both a water absorbent and carrier for the water. The activated carbon is able to control and increase cell size even in the presence of carbon dioxide, HFCs, and/or infrared attenuating agents. Additionally, the activated carbon permits a desired amount of water to be introduced into the polymer melt. By controlling the amount of activated carbon and its water content during an extrusion process, a broad range of cell sizes can be obtained in the extruded product. In exemplary embodiments, the activated carbon is added to a primary extruder and water is directly injected into a secondary extruder. Alternatively, the activated carbon is compounded with a polymer resin, pre-hydrated by conditioning or steam impregnation, and added to a primary or secondary extruder.",Porous carbon-containing compounds as water carriers and cell size controlling agents for polymeric foams,,0
2885,"In a method for producing a reduced iron pellet, when a powder formed article including iron oxide and carbon is heated and reduced in a rotary hearth furnace, a formed article produced using a raw material, in which an average diameter of the iron oxide is 50 microns or less and a ratio of carbon monoxide to carbon dioxide in a reduction zone is from 0.3 to 1, is reduced at a temperature of 1400° C. or less, thereby producing a reduced iron pellet in which a metallization ratio of iron is 50 to 85% and a ratio of residual carbon is 2% or less.","Process for producing reduced iron pellets, and process for producing pig iron",,0
2904,A flicker band automated detection system and method are presented. In one embodiment an incidental motion mitigation exposure setting method includes receiving image input information; performing a motion mitigating flicker band automatic detection process; and implementing exposure settings based upon results of the motion mitigating flicker band automatic detection process. The auto flicker band detection process includes performing a motion mitigating process on an illumination intensity indication. Content impacts on an the motion mitigated illumination intensity indication are minimized. The motion mitigated illumination intensity indication is binarized. A correlation of the motion mitigated illumination intensity and a reference illumination intensity frequency is established.,Flicker band automated detection system and method,,0
2977,"A medical implant comprises a biodegradable magnesium-based alloy of which at least a part of its surface layer comprises a magnesium carbonate. A method for the manufacture of a biocompatible, corrosion-inhibiting protective surface layer on a medical implant comprising a magnesium-based alloy, comprises: providing an implant comprising a magnesium-based alloy to be coated; placing the implant into a reactor chamber; exposing at least part of the surface of said implant to an atmosphere comprising humid carbon dioxide to produce a coating on the surface of the implant comprising a magnesium carbonate of the formula x MgCO3.y Mg (OH)2, whereby x+y=1; removing the implant from the reactor chamber; and drying the surface of the implant.",Medical implant comprising a biodegradable magnesium-based alloy and method for its manufacture,,0
3277,"A method for multi-slice magnetic resonance imaging, in which image data is acquired simultaneously from multiple slice locations using a radio frequency coil array, is provided. By way of example, a modified EPI pulse sequence is provided, and includes a series of magnetic gradient field “blips” that are applied along a slice-encoding direction contemporaneously with phase-encoding blips common to EPI sequences. The slice-encoding blips are designed such that phase accruals along the phase-encoding direction are substantially mitigated, while providing that signal information for each sequentially adjacent slice location is cumulatively shifted by a percentage of the imaging FOV. This percentage FOV shift in the image domain provides for more reliable separation of the aliased signal information using parallel image reconstruction methods such as SENSE. In addition, the mitigation of phase accruals in the phase-encoding direction provides for the substantial suppression of pixel tilt and blurring in the reconstructed images.",Method for simultaneous multi-slice magnetic resonance imaging,,0
3566,"The present invention provides a resin-wafer electrodeionization (RW-EDI) apparatus including cathode and anode electrodes separated by a plurality of porous solid ion exchange resin wafers, which when in use are filled with an aqueous fluid. The apparatus includes one or more wafers comprising a basic ion exchange medium, and preferably includes one or more wafers comprising an acidic ion exchange medium. The wafers are separated from one another by ion exchange membranes. The gas and aqueous fluid are introduced into each basic wafer via a porous gas distributor which disperses the gas as micro-sized bubbles laterally throughout the distributor before entering the wafer. The fluid within the acidic and/or basic ion exchange wafers preferably includes, or is in contact with, a carbonic anhydrase (CA) enzyme or inorganic catalyst to facilitate conversion of bicarbonate ion to carbon dioxide within the acidic medium.",Internal gas and liquid distributor for electrodeionization device,,0
3634,"This disclosure relates to carbonizing and activating carbonaceous material. In some embodiments, the material is selected from coconut-derived material and like material of vegetable origin and resin materials to produce activated carbon, the production comprising supplying the material to the inlet end of a kiln, supplying to the kiln an atmosphere comprising steam or carbon dioxide substantially free of oxygen, maintaining a first region of the kiln having an independently controllable supply of heat at a temperature sufficient for drying or removing solvent from the material without carbonization, maintaining a second region of the kiln having an independently controllable supply of heat downstream from the first region at a temperature sufficient for carbonization of the material without activation; maintaining a third region of the kiln having an independently controllable supply of heat downstream from the second region at a temperature sufficient for activation of the carbonized material, and collecting activated carbon from the discharge end of the kiln.",Carbonising and/or activating carbonaceous material,,0
3673,"The invention provides methods for producing methanol, higher alcohols (containing 2 or more carbons), in particular ethanol, or diesel fuel from biological wastes such as manure, sewage, and crop wastes, as well as from other organic materials. In the methods, organic material is first fermented by anaerobic microorganisms to a biogas consisting primarily of methane and carbon dioxide. The biogas is then converted to synthesis gas consisting primarily of CO and H2. The synthesis gas is then contacted with a liquid fuel production catalyst to synthesize higher alcohols or other liquid fuels. The invention involves converting CO2 in the biogas to synthesis gas by combining a CO2 reforming reaction with steam reforming or partial oxidation to convert the biogas to synthesis gas. The invention also provides methods involving recirculating CO2 from the output of the liquid fuel production reaction to one or more of the fermentation reaction, the CO2 reforming reaction, or the liquid fuel production reaction.",Efficient use of biogas carbon dioxide in liquid fuel synthesis,,0
3902,"An amino-siloxane composition is presented. The amino-siloxane composition includes structure (I):wherein R1 is independently at each occurrence a C1-C5 aliphatic radical; R2 is a C3-C4 aliphatic radical; R3 is a C1-C5 aliphatic radical or R4, wherein R4 comprises structure (II):and X is an electron donating group. Methods of reducing an amount of carbon dioxide in a process stream using the amino-siloxane composition are also presented.",Amino-siloxane composition and methods of using the same,,0
3927,"A process for the direct reduction of iron ore when the external source of reductants is one or both of coke oven gas (COG) and basic oxygen furnace gas (BOFG). Carbon dioxide (CO2) is removed from a mixture of shaft furnace off gas, obtained from a conventional direct reduction shaft furnace, and BOFG. This CO2 lean gas is mixed with clean COG, humidified, and heated in an indirect heater. Oxygen (O2) is injected into the heated reducing gas. This hot reducing gas flows to the direct reduction shaft furnace for use. The spent hot reducing gas exits the direct reduction shaft furnace as shaft furnace off gas, produces steam in a waste heat boiler, is cleaned in a cooler scrubber, and is compressed and recycled to join fresh BOFG. A portion of the shaft furnace off gas is sent to the heater burners. The BOFG and COG are also employed for a variety of other purposes in the process.",System and method for reducing iron oxide to metallic iron using coke oven gas and oxygen steelmaking furnace gas,,0
3931,"Aspects of adjusting application parameters for interference mitigation are disclosed. In one aspect, a computing device is provided that employs a control system configured to detect and mitigate electromagnetic interference (EMI) generated within the computing device. More specifically, the control system is configured to detect possible EMI conditions and adjust parameters within the computing device to mitigate such EMI. In this manner, the computing device includes an aggressor application and a victim receiver. The control system is configured to analyze performance tradeoffs based on an acceptable performance level of the aggressor application and the performance degradation experienced by the victim receiver. Based on such analysis, the control system is configured to adjust parameters associated with the aggressor application to mitigate the EMI. Thus, the control system provides designers with an additional tool that may reduce the performance degradation of the victim receiver attributable to the EMI.",Adjusting application parameters for interference mitigation,,0
3997,"A high intensity focused ultrasound transducer includes an ultrasonic emitter having a surface that emits ultrasonic energy along a beam path, at least one low attenuation polymeric ultrasonic lens acoustically coupled to the surface in the beam path of the ultrasonic energy, such that the lens can direct the ultrasonic energy in at least one direction, and at least one stress mitigation feature, such as a kerf, a heat sink, or an acoustic matching layer, to mitigate thermal expansion mismatch stresses within the transducer. For manufacturing simplicity, the first surface is typically either flat or monotonically curvilinear. The lens may take a variety of shapes, including Fresnel features, and may focus, collimate, or defocus the ultrasonic energy. Any orientation and positioning of the at least one ultrasonic lens relative to the first ultrasonic emitter is contemplated. Manufacture is further simplified by molding, casting, or thermoforming the lens.",Device and method for high intensity focused ultrasound ablation with acoustic lens,,0
4585,"A cleaning system that utilizes an organic cleaning solvent and pressurized fluid solvent is disclosed. The system has no conventional evaporative hot air drying cycle. Instead, the system utilizes the solubility of the organic solvent in pressurized fluid solvent as well as the physical properties of pressurized fluid solvent. After an organic solvent cleaning cycle, the solvent is extracted from the textiles at high speed in a rotating drum in the same way conventional solvents are extracted from textiles in conventional evaporative hot air dry cleaning machines. Instead of proceeding to a conventional drying cycle, the extracted textiles are then immersed in pressurized fluid solvent to extract the residual organic solvent from the textiles. This is possible because the organic solvent is soluble in pressurized fluid solvent. After the textiles are immersed in pressurized fluid solvent, pressurized fluid solvent is pumped from the drum. Finally, the drum is de-pressurized to atmospheric pressure to evaporate any remaining pressurized fluid solvent, yielding clean, solvent free textiles. The organic solvent is preferably selected from terpenes, halohydrocarbons, certain glycol ethers, polyols, ethers, esters of glycol ethers, esters of fatty acids and other long chain carboxylic acids, fatty alcohols and other long-chain alcohols, short-chain alcohols, polar aprotic solvents, siloxanes, hydrofluoroethers, dibasic esters, and aliphatic hydrocarbons solvents or similar solvents or mixtures of such solvents and the pressurized fluid solvent is preferably densified carbon dioxide.",Cleaning system utilizing an organic cleaning solvent and a pressurized fluid solvent,,0
4654,"This invention is to provide an agent for therapy and prevention of allergic diseases which has no adverse action, shows a high safety even by administration for a long period and is able to be utilized to food and/or beverage, cosmetics, etc. which are used daily. To be specific, it provides antiallergic agent and anti-inflammatory agent characterized in containing at least one polyphenol selected from strictinin and methylated derivatives thereof as an effective ingredient; a method for the addition of an antiallergic agent for oral administration or an anti-inflammatory agent for oral administration which is characterized in containing at least one polyphenol selected from strictinin and methylated derivatives thereof as an effective ingredient to food and/or beverage for prevention, suppression and mitigation of allergic symptoms or inflammatory symptoms.",Method for treating an allergic or inflammatory disease,,0
4662,"Installation for the production of synthesis gas from a hydrocarbon feedstock comprising at least one reactor for steam reforming, at least one reactor for converting CO2 that is equipped with at least one feed means by the effluent that is obtained from the steam reforming and at least one other feed means by a gas comprising carbon dioxide, characterized in that at least one reactor for steam reforming or for converting CO2 is heated by a hot gas.",Installation and process for the production of synthesis gas comprising a reactor for steam reforming and a reactor for converting CO2 heated by a hot gas,,0
4681,"A flying insect trapping device configured to be used with a fuel supply containing combustible fuel. The device may include a supporting frame; an insect trap chamber carried on the supporting frame; and a combustion device which may also be carried on the supporting frame. The combustion device comprises an inlet port for connection with the fuel supply, an exhaust port, and a combustion chamber communicating the inlet port with the exhaust port. The inlet port enables the fuel from the fuel supply to flow into the combustion chamber for continuous combustion therein to create an exhaust gas within the combustion chamber. The combustion device further includes a catalyst element disposed within the combustion chamber. The catalyst element has a catalyst body with a plurality of essentially linear elongated conduits for enabling the exhaust gas created in the combustion chamber to flow therethrough towards the exhaust port. The catalyst body includes a catalytically active material that, during operation, converts carbon monoxide in the exhaust gas to carbon dioxide as the exhaust gas flows through the elongated conduits. An insect inlet is communicated with the insect trap chamber to enable flying insects to enter the trap chamber through the insect inlet. A vacuum device communicated to the insect inlet is constructed and arranged to draw insects attracted to the exhaust outlet through the insect inlet and into the insect trap chamber.",System for trapping flying insects and a method for making the same,,0
7288,"Method of carrying out the cryogenic therapy, particularly on the whole body of one or several patient/s, characterized in that said patient/s are introduced along a transport route through the upper part of a chamber and then through the interior of said chamber, wherein said chamber has thermally insulated walls and a space containing a deposited low temperature cooling agent. The patient/s are then led to a cryogenic treatment cabin having a very low temperature from −60.c to −160.c with exposure times ranging from 0.5 to 5 minutes, whereafter said patient/s leave said treatment cabin through the interior of said chamber and further along said transport route outside chamber to an area at room temperature. The corresponding device for carrying out cryogenic therapy is characterized by a chamber with an open upper part and by a separated cryogenic treatment cabin inside said chamber said cabin being cooled in its whole volume by a cooling agent in the form of liquid air sprayed by nozzles. Alternatively, said device for carrying out cryogenic therapy has a cabin cooled by a cooling agent in the form of liquid carbon dioxide or liquid nitrogen sprayed by nozzles, said chamber having an air intake device in its upper part for providing breathing air to said patient/s. Optionally, said device has a chamber having an upper part with a movable cover which is preferably transparent, said chamber comprising illumination means, the cryogenic treatment cabin having an emergency door situated on one side of said of said chamber, said door enabling access for disabled people on wheelchairs, said chamber, said door enabling access for disabled people on wheelchairs, said chamber, also having measuring and control means for temperature and oxygen concentration in order to protect said patient/s.",Method and the device for cryogenic therapy applied on the whole body of a patient,,0
8112,"A remote climate control system is for a hybrid vehicle having a rechargeable electrical power source and an electrical ventilation blower selectively powered thereby, a sensor associated with the rechargeable electrical power source, and a data communications bus extending throughout the hybrid vehicle. At least one of the electrical ventilation blower and the sensor is coupled to the data communications bus. The remote climate control system includes a remote transmitter and a receiver to be positioned at the hybrid vehicle for receiving signals from said remote transmitter. A vehicle remote climate controller cooperates with said receiver and to be coupled to the data communications bus extending within the hybrid vehicle for communication thereover to selectively operate the electrical ventilation blower responsive to the sensor and said remote transmitter.",Remote climate control device including electrical ventilation blower for a hybrid vehicle and associated methods,,0
8601,"A method for reducing carbon dioxide utilizes a carbon dioxide reduction device including a cathode chamber, an anode chamber, a solid electrolyte membrane, a cathode electrode and anode electrode. The cathode electrode includes copper or copper compound. The anode electrode includes a region formed of a nitride semiconductor layer where an AlxGa1-xN (0<x≦1) layer and a GaN layer are stacked. The anode electrode is irradiated with a light having a wavelength of not more than 350 nanometers to reduce the carbon dioxide on the cathode electrode.",Method for reducing carbon dioxide,,0
8794,"In one embodiment, a carbon dioxide capturing system includes an absorber to discharge an absorption liquid having absorbed carbon dioxide, a regenerator to discharge the absorption liquid having released the carbon dioxide, a first line to introduce the absorption liquid discharged from the absorber to the regenerator, a second line to introduce the absorption liquid discharged from the regenerator to the absorber, and a heat exchanger to exchange heat between absorption liquids flowing in the first and second lines. The system further includes a bypass line to branch from the first line between the absorber and the heat exchanger and introduce the absorption liquid to the regenerator without passing through the heat exchanger, a valve on the bypass line, an instrument to measure a value indicating a state of the regenerator, and a controller to control a degree of opening of the valve based on the measured value.",Carbon dioxide capturing system and method of operating the same,,0
9092,"A compression refrigeration system includes a compressor (1), a heat rejector (2), expansion device (3) and a heat absorber (4) connected in a closed circulation circuit that may operate with supercritical high-side pressure. The refrigerant charge and component design of the system corresponds to a stand still pressure inside the system which lower than 1.26 times the critical pressure of the refrigerant when the temperature of the whole system is equalized to 60° C. Carbon dioxide or a mixture of a refrigerant containing carbon dioxide may be applied as the refrigerant in the system.",Compression system for cooling and heating purposes,,0
9366,"A method and a measuring system for determining exhaust gas emissions from a moving vehicle by a remote optical measuring technique. The model and/or type of the vehicle under examination is identified, and the driving situation of the vehicle in question is determined at the moment of measurement. A calculatory vehicle model is used to determine a case-specific estimate for the carbon dioxide concentration of the exhaust gas plume depending on the vehicle in question and its driving situation. The accuracy of determining the concentrations of the actual emission gases is improved by eliminating the inaccuracy of the carbon dioxide concentration values.",Method and a measuring system for determining and monitoring exhaust gas emission from a vehicle,,0
9568,A method and apparatus are provided for removing solid and/or liquid residues from electronic components such as semiconductor wafers utilizing liquid or supercritical carbon dioxide which is solidified on the surface of the wafer and then vaporized and removed from the system. In a preferred embodiment the solidification and vaporizing steps are repeated (cycled) before removal of the CO2 from the vessel. The residues are carried away with the vaporized carbon dioxide.,Solid CO2 cleaning,,0
9854,"The present invention provides for a process for producing carbon monoxide. A feed gas stream of hydrogen, carbon monoxide and carbon dioxide is directed to a membrane unit which separates the feed gas stream into two streams. The stream containing carbon monoxide is directed to second membrane unit for further purification and the steam containing the carbon dioxide and hydrogen is fed to a reverse shift reactor to produce more carbon monoxide. The carbon monoxide recovered from the reverse shift reactor is purified in a third membrane unit and directed back to the first membrane unit and is further purified and recovered as additional carbon monoxide product.",Carbon monoxide production process,,0
9949,"A portable life support system includes a primary oxygen supply in thermal communication with a recirculated ventilation flow from a user. The primary oxygen supply has a solid adsorbent bed made of a molecular sieve that adsorbs oxygen at cryogenic temperatures and desorbs oxygen when heated. The primary oxygen supply freezes carbon dioxide and moisture in the recirculated ventilation flow. A wire mesh is adjacent to the primary oxygen supply to contain frozen carbon dioxide and moisture. A first ice chest is downstream of the primary oxygen supply to condition the temperature and humidity of the recirculated ventilation flow. A liquid cooled garment associated with the suit is in thermal communication with the first ice chest. A ventilation loop receives and delivers the recirculated ventilation flow to the primary oxygen supply, as well as delivers the recirculated ventilation flow from the first ice chest to the suit, whereby pneumatic pressure is supplied to the suit and metabolic oxygen is supplied to the user. A coolant loop is in communication with the liquid cooled garment and first ice chest to regulate suit temperature.","Space suit backpack using solid adsorbents for cryogenic oxygen storage, freezeout of carbon dioxide and moisture, and ice heat sink",,0
