,abstract,title,matches,count_matches
10108,"A method for retrofitting a fossil-fueled power station is provided. The power station includes a multi-housing stream turbine with a carbon dioxide separation device. As per the method, a suction capability of the steam turbine is adapted for an operation of the carbon dioxide separation device to a process steam to be removed. The carbon dioxide separation device is connected via a process steam line to an intermediate superheating line. Further, an auxiliary condenser is connected to the carbon dioxide separation device. On failure or deliberate switching off of the carbon dioxide separation device surplus process steam is condensed in the auxiliary condenser.",Method for retrofitting a fossil-fueled power station with a carbon dioxide separation device,,0
10205,"The present invention provides a method of treating wastewater containing phosphorus and/or nitrogen for removing phosphorus and/or nitrogen from the wastewater, including following steps of: (a) introducing wastewater containing phosphorus and/or nitrogen into a an anaerobic reactor, treating the introduced wastewater with anaerobic microorganisms, to produce biogas from organic matters in the wastewater, and then discharging the treated wastewater saturated with carbon dioxide under carbon dioxide partial pressure of 0.2 to 0.5 atm; and (b) injecting the treated wastewater of step (a) into a carbon dioxide stripping apparatus wherein the wastewater is free-fallen to expose the wastewater to ambient condition with carbon dioxide partial pressure of less than 0.001 atm so that carbon dioxide stripping takes place and increase in pH occurs without addition of alkaline substance, and then providing proper pH of 8.4 to 9.6 to form struvite.",Method of removing phosphorus and/or nitrogen,,0
10280,"In order to remove a deposit adhered to the backside of the peripheral portion of a wafer, a cleaning gas containing carbon dioxide gas is set to a pressure that is slightly lower than the pressure corresponding to a vapor pressure line of carbon dioxide at a temperature in the nozzle, and a gas cluster of carbon dioxide is generated. A gas cluster of carbon dioxide generated under such a condition is in a state immediately prior to undergoing a phase change to a liquid and therefore is a gas cluster having a large cluster diameter and having molecules that are firmly solidified.","Substrate cleaning method, substrate cleaning apparatus and vacuum processing system",,0
10335,"The present invention describes methods and systems for extracting, capturing, reducing, storing, sequestering, or disposing of carbon dioxide (CO2), particularly from the air. The CO2 extraction methods and systems involve the use of chemical processes. Methods are also described for extracting and/or capturing CO2 via exposing air containing carbon dioxide to a solution comprising a base—resulting in a basic solution which absorbs carbon dioxide and produces a carbonate solution. The solution is causticized and the temperature is increased to release carbon dioxide, followed by hydration of solid components to regenerate the base.",Systems and methods for extraction of carbon dioxide from air,,0
10358,"A filtering method and a filter device (10) for removing impurities from the breathing air (24) in a room, an air raid shelter or a vehicle. According to the filtering method, the air to be filtered is driven through a carbon dioxide filter (13) by a fan (15), with the result that at least a portion of the carbon dioxide and/or mold spores and other impurities in the air are trapped in the carbon dioxide filter. After the filtering, the filter is regenerated and the carbon dioxide and/or mold spores trapped in it are removed by a technique whereby air heated by a thermal resistor (20) is passed through the filter, this air preferably consisting of the same air to be filtered.",Filtration method and a filter device for removing impurities from the air of a limited space and an apparatus for removing carbon dioxide from the air of an air-raid shelter,,0
10426,"A method for carrying out positive tone lithography with a carbon dioxide development system is carried out by: (a) providing a substrate, the substrate having a polymer resist layer formed thereon, (b) exposing at least one portion of the polymer resist layer to radiant energy causing a chemical shift to take place in the exposed portion and thereby form at least one light field region in the polymer resist layer while concurrently maintaining at least one portion of the polymer layer unexposed to the radiant energy to thereby form at least one dark field region in the polymer resist layer; (c) optionally baking the polymer resist layer; (d) contacting the polymer resist layer to a carbon dioxide solvent system, the solvent system comprising a polar group, under conditions in which the at least one light field region is preferentially removed from the substrate by the carbon dioxide solvent system as compared to the at least one dark field region; wherein the carbon dioxide solvent system comprises a first phase and a second phase, the first phase comprising carbon dioxide and the second phase comprising a polar fluid, with the at least one light field region being preferentially soluble in the polar fluid as compared to the at least one dark field region.",Low pH development solutions for chemically amplified photoresists,,0
10557,"In one embodiment, a carbon dioxide capturing system includes an absorption tower configured to bring a treatment target gas containing carbon dioxide into contact with an absorption liquid, and to discharge the absorption liquid having absorbed the carbon dioxide. The system further includes a regeneration tower configured to make the absorption liquid discharged from the absorption tower dissipate the carbon dioxide, and to discharge the absorption liquid having dissipated the carbon dioxide. The system further includes a treatment target gas line configured to introduce the treatment target gas into the absorption tower, a first introduction module configured to introduce a first gas having a higher carbon dioxide concentration than the treatment target gas into the treatment target gas line, and a second introduction module configured to introduce a second gas having a lower carbon dioxide concentration than the treatment target gas into the treatment target gas line.",Carbon dioxide capturing system and method of operating same,,0
10782,"The various embodiments provide methods and systems for adjusting the thermal mitigation system of a mobile electronic device when an add-on outer casing is attached. The mobile electronic device determine whether an add-on outer case is attached to the mobile electronic device and change a thermal mitigation parameter of a thermal mitigation process implemented on the mobile electronic device in response. The determination may be via a sensor or a user input. A changed thermal mitigation parameter may be stored in memory, or input by a user or in a communication from the add-on case. The changed thermal mitigation parameter may be determined based on a particular make, model or properties of the add-on case, and/or may be obtained from a database stored in the device or accessed via a network. Removal of the case may be detected and the thermal mitigation parameter returned to an initial value.",Thermal mitigation adaptation for a mobile electronic device,,0
11678,"The carbon dioxide reducing method using light includes: (a) preparing a carbon dioxide reducing cell including: a cathode chamber that holds first electrolytic solution containing carbon dioxide; an anode chamber that holds second electrolytic solution; a proton exchange membrane inserted between the cathode and anode chambers; a cathode set inside the cathode chamber to contact the first electrolytic solution, and the cathode having copper, gold, silver, indium, etc. on the cathode; and an anode set inside the anode chamber to contact the second electrolytic solution, the anode having first semiconductor layer constituted by nitride semiconductor including AlxGa1-xN layer wherein 0≦x≦0.25, an n-type GaN layer, and second semiconductor layer constituted by semiconductor having pn junction structure and electrically connected to the first semiconductor layer through p-type semiconductor layer, further to the cathode through no external power source; and (b) irradiating the anode with light to reduce carbon dioxide on the cathode.","Carbon dioxide reducing method, carbon dioxide reducing cell, and carbon dioxide reducing apparatus",,0
11740,The invention relates to a carbon dioxide fire extinguishing device comprising a capacitive measuring device (11) which is calibrated for a temperature range above and below the critical temperature of carbon dioxide and which is used to detect the amount of gas loss from a carbon dioxide pressure tank (10). The carbon dioxide fire extinguishing device comprises an outlet valve in which the capacitive measuring probe (12) is integrated in such an advantageous way that the outflow resistance of the extinguishing gas is hardly increased at all.,Carbon dioxide fire extinguishing device,,0
11796,"A process for separating carbon dioxide from a fluid containing carbon dioxide, NO2, and at least one of oxygen, argon, and nitrogen comprises the steps of separating at least part of the fluid into a carbon dioxide enriched stream, a carbon dioxide depleted stream comprising CO2 and at least one of oxygen, argon, and nitrogen and a NO2 enriched stream and recycling said NO2 enriched stream upstream of the separation step.",Process and apparatus for separating NO2 from a CO2 and NO2—containing fluid,,0
11892,"A glove box assembly for a vehicle is provided and includes a storage bin, a dedicated climate controlled bin, and an air flow manifold. The air flow manifold is arranged to receive cooled air from a vehicle heating ventilation and air conditioning unit and direct the flow of cooled air into the climate controlled bin for cooling the climate controlled bin independent of the storage bin. The air flow manifold is further arranged to draw cooled air from the heating ventilation and air conditioning unit upstream of a blend door when air conditioning is operating so as to provide cooled air to the climate controlled bin independent of a vehicle cabin temperature setting.",Vehicle cooled instrument panel compartment,,0
12148,"The invention relates to a heat-exchanger for an air-conditioning circuit that includes a first pipe (110) defining a path for a flow of fluid, the first pipe being spirally wound about a so-called exchanger axis (A). According to the invention, the heat exchanger (9) further includes at least one second pipe (120a, 120b) defining a path for a flow of a second fluid, said second pipe being provided against a surface of the first pipe (110) and spirally wound together with said first pipe (110) about said axis (A). The invention can be used in air-conditioning circuits operating with a super-critical coolant, in particular carbon dioxide (CO2).",Heat exchanger and integrated air-conditioning assembly including such exchanger,,0
12200,"A container, comprises a first layer of plastic and a second layer of plastic contacting said first layer, the second layer of plastic being formed as a foam wherein the foam cells contain carbon dioxide.",Container having foam layer,,0
12205,"A method and device for producing containers filled with a liquid filling material from preforms made of a thermoplastic material, wherein the respective preform is at least thermally conditioned and subsequently re-formed during a forming and filling phase into the container with at least one liquid filling material as a pressure medium having a filling pressure p2. The filling material or portions of the filling material is/are supplied at at least two points in time and/or during at least two process phases having different carbon dioxide contents and/or different temperatures. The filling pressure p2 of the container formed in the first process phase is reduced to a pressure p1 and filling material is supplied in the second process phase, after which the pressure of the container is reduced to atmospheric pressure p0. In the first process phase filling material that has been previously degassed and/or uncarbonated is supplied.",Method and device for producing containers filled with a liquid filling material,,0
12713,A message retrieving system and method for signal collision mitigation and the method thereof are disclosed. The message retrieving system transmits two orthogonal signals over two isolated antenna during a time period that it expects to receive the response. Two virtual channels are artificially created and the collision of response signals originated from the respondents is mitigated.,Message retrieving system with signal collision mitigation and a method thereof,,0
13120,"An extreme ultraviolet light source apparatus using a spectrum purity filter capable of obtaining EUV light with high spectrum purity. The apparatus includes a chamber; a target supply unit for supplying a target material; a driver laser using a laser gas containing a carbon dioxide gas as a laser medium, for applying a laser beam to the target material to generate plasma; a collector mirror for collecting and outputting the extreme ultraviolet light radiated from the plasma; and a spectrum purity filter provided in an optical path of the extreme ultraviolet light, for transmitting the extreme ultraviolet light and reflecting the laser beam, the spectrum purity filter including a mesh having electrical conductivity and formed with an arrangement of apertures having a pitch not larger than a half of a shortest wavelength of the laser beam applied by the driver laser.",Extreme ultra violet light source apparatus,,0
13174,"The invention provides a method and a system for controlling floor heating or climate regulating systems with long time constants. According to the invention, a flow of a fluid is provided through the floor or through a similar medium with large thermal inertia. An induced heat is determined by adding up a plurality of differences between an inlet temperature of the fluid when it enters the medium and an outlet temperature of the fluid when it leaves the medium. The temperatures are sampled with a fixed sampling time and within a fixed period of time, and a corresponding change in temperature of the medium over the fixed period of time is determined. In the future, the temperature of that medium is controlled by use of a ratio between the induced heat and the change in temperature.",Control of a system with a large thermal capacity,,0
13382,"Processes and reactors for the preparation of an alkylene glycol from an alkylene oxide are provided. In one embodiment, a reactor is provided comprising a carboxylation zone, a hydrolysis zone, and a channel whereby carbon dioxide can be supplied from the hydrolysis zone to the carboxylation zone, wherein the carboxylation zone and the hydrolysis zone are contained within one reactor vessel and wherein the carboxylation zone is separated from the hydrolysis zone by an internal baffle.",Process for the preparation of alkylene glycol,,0
13516,"The present invention relates to a method for manufacturing a carbon dioxide absorbent and to the absorbent manufactured by the method. The method comprises: (A) a step of preparing a slurry composition including a carrier composition containing a support, an inorganic binder, and a solvent; (B) a step of preparing solid particles by spray drying the thus-prepared slurry composition; (C) a step of manufacturing a carrier by dry calcining the thus-prepared solid particles; and (D) a step of receiving an amine compound into the pores of the thus-manufactured carrier. According to the absorbent of the present invention, an absorbing reaction and a regenerating reaction at a low temperature range (less than or equal to 100° C. may be conducted, and therefore, the cost for capturing CO2 in a dry capturing process may be expected to decrease.","Solid carbon dioxide absorbent including amine or a compound thereof for use in the capturing process of dry carbon dioxide, and method for manufacturing same",,0
13535,"Disclosed is a flow-field plate and fuel cell stack using the same. The flow-field plate of the present invention comprises a center hole (5) formed at the center of the flow-field plate, a inlet (6) and a outlet (7) formed on two positions near the outer edge of the flow-field plate, and flow grooves extending radially from the center hole (5) on one side of the flow-field plate. Since the flow-field plate according to the present invention may comprise flow grooves extending radially and having short flow path, which is benefit for reactants diffusion, there is no “dead-end” on the flow-field plate and reactants may distribute uniformly to each part of flow-field plate. Furthermore, resultants generated from reaction, such as water, nitrogen, carbon dioxide, etc., may be discharged in time and not accumulate on flow-field plate. Therefore, the reactant utilization ratio, the fuel cell performances and its service life may be improved.",Flow-field plate and fuel cell stack using the same,,0
13603,"A carbon dioxide extraction system which recirculates CO2 and/or other gases in a continuous loop for maximum extraction efficiency and which recovers substantially all gases at the end of the extraction cycle for cost savings and greater workplace safety. The extractor utilizes a dual pumping system which can incorporate high vapor pressure CO2 and/or lower vapor pressure gases such as propane, butane, chemical refrigerants such as R134a, and other lower vapor pressure gases. The system allows the operators to work with supercritical CO2 alone with high pressure liquid pump(s), lower vapor pressure gases alone with modified refrigerant recovery pump(s), or a mixture of CO2 and lower vapor pressure gases using a combination of high pressure liquid pump(s) for extraction and modified refrigerant recovery pump(s) for full recovery of gases at the end of an extraction cycle.",Closed loop supercritical and subcritical carbon dioxide extraction system for working with multiple compressed gases,,0
13785,"A method and apparatus is provided for the electrochemical reduction of carbon dioxide to formate and formic acid. One embodiment features a three-compartment reactor which houses: a gas compartment; a catholyte compartment, which contains a porous cathode having a tin-based catalyst; and an anolyte compartment, which contains an anode having a mixed metal oxide catalyst. Further embodiments include a method for depositing tin onto a porous cathode, tin-zinc cathodes, a reaction method using an acidic anolyte, and pulsed polarization to extend reactor runtimes.",Method and apparatus for the electrochemical reduction of carbon dioxide,,0
13805,"The present invention has an object to provide a method for producing particulate barium carbonate having desired properties such as high purity, fineness, and has a spherical shape. The present invention relates to a method of producing substantially spherical barium carbonate, including (A) mixing, in an aqueous medium, a barium compound with at least one first ingredient selected from the group consisting of gluconic acid or salts thereof, gluconolactone, glucoheptonic acid or salts thereof, and glucoheptonolactone, to prepare a mixture; and (B) reacting the barium compound with carbon dioxide or a water-soluble carbonate in the mixture, to produce substantially spherical barium carbonate.","Generally spherical barium carbonate particles, and method for producing generally spherical barium carbonate particles",,0
13923,"Methods and compositions useful for subterranean formation treatments, such as hydraulic fracturing treatments and sand control that include porous materials. Such porous materials may be selectively configured porous material particles manufactured and/or treated with selected glazing materials, coating materials and/or penetrating materials to have desired strength and/or apparent density to fit particular downhole conditions for well treating such as hydraulic fracturing treatments and sand control treatments. Porous materials may also be employed in selected combinations to optimize fracture or sand control performance, and/or may be employed as relatively lightweight materials in liquid carbon dioxide-based well treatment systems.",Porous particulate materials and compositions thereof,,0
14016,"The present invention relates to a medical solution, a method for producing said medical solution, a multi-compartment bag containing the medical solution as well as use of said medical solution. According to the invention the medical solution comprises a first single solution comprising bicarbonate and carbonate in such proportions that the partial pressure of carbon dioxide, CO2, in the first single solution is of the same order of magnitude as the partial pressure of carbon dioxide, CO2, of the atmosphere. The medical solution further comprises a second single solution comprising an acid. Said first and second single solutions are, after terminal sterilization and up on use, to be mixed to form a final solution. Said second single solution has a pH of 1.0-1.5, and said final solution has a pH of 7.0-7.6.","Medical solution, a method for producing said medical solution and use thereof",,0
14141,"A probe assembly for processing an outlet gas from a gas analyzer. The probe assembly has a thermowell and a heating element mounted in the thermowell connecting to a power connection, wherein the heating element heats the thermowell. The probe assembly has a one piece non-sintered metal probe with an end cap smaller than a tubular body inner diameter, a plurality of upper longitudinal outer grooves and a plurality of longitudinal slots, or a plurality of perforations. The probe assembly has a street tee with an inlet port to receive outlet gas from the gas analyzer and a sintered metal outer housing, through a catalyst cartridge for reaction. This reaction produces water vapor and carbon dioxide while simultaneously allowing ambient air to enter the catalyst cartridge while exhausting water vapor and carbon dioxide at a continuous flow rate.",Probe assembly,,0
14303,"A method reduces carbon dioxide resulting from a steel production process. The carbon dioxide is reacted with an electropositive metal in combustion to produce carbon monoxide. The resultant carbon monoxide is fed back into the steel production process. In this method, the carbon monoxide can be used in a direct reduction method as a reduction gas or can be fed to a blast furnace process. The reacted metal can also be recovered by electrochemical conversion from its oxides or salts. In particular, a form of regenerative energy can be used to recycle the electropositive metal.",Carbon dioxide reduction in steelworks,,0
14525,"Disclosed is a system and method for reducing carbon dioxide into a carbon based product. The system includes an electrochemical cell having a cathode region which includes a cathode and a non-aqueous catholyte; an anode region having an anode and an aqueous or gaseous anolyte; and an ion permeable zone disposed between the anode region and the cathode region. The ion permeable zone is at least one of (i) the interface between the anolyte and the catholyte, (ii) an ion selective membrane; (iii) at least one liquid layer formed of an emulsion or (iv) a hydrophobic or glass fiber separator. The system and method includes a source of energy, whereby applying the source of energy across the anode and cathode reduces the carbon dioxide and produces an oxidation product.",Multiphase electrochemical reduction of CO2,,0
14707,"A gas powered fluid gun for propelling a stream or slug of a fluid at high velocity toward a target. Recoil mitigation is provided that reduces or eliminates the associated recoil forces, with minimal or no backwash. By launching a quantity of water in the opposite direction, net momentum forces are reduced or eliminated. Examples of recoil mitigation devices include a cone for making a conical fluid sheet, a device forming multiple impinging streams of fluid, a cavitating venturi, one or more spinning vanes, or an annular tangential entry/exit.",Gas powered fluid gun with recoil mitigation,,0
14731,"An apparatus for cleaning a jet engine includes a supply device configured to make cleaning medium available, a nozzle device configured to introduce the cleaning medium into the jet engine, and a line connection between the supply device and the nozzle device. The cleaning medium can be solid carbon dioxide. A system including a jet engine and the apparatus. A method for cleaning a jet engine using solid carbon dioxide.",Method and apparatus for cleaning a jet engine,,0
14805,"A carbon dioxide/co-fluid mixture is provided for use in a refrigeration cycle in which the carbon dioxide is alternately absorbed and desorbed from the co-fluid. Suitable co-fluids are selected from the class of alkoxylated carboxylic amides, wherein the amides are cyclic or non-cyclic. It has been discovered that N-2,5,8,11-tetraoxadodecyl-2-pyrrolidinone and its homologs exhibit an advantageous property of a high rate of desorption at lower temperatures.",Carbon dioxide co-fluid,,0
14941,"A computer-implemented method for determining a site for a wind turbine within a confined geographical target region on the basis of an estimate of a maintenance parameter comprises determining a wind climate at the target region, the wind climate including e.g. average wind speed, pre-dominant wind directions, or turbulence intensities. A function expressing the maintenance parameter of the wind turbine as a function of the flow characteristics is defined, and the function is applied to the geographical position to compute an estimated value of the maintenance parameter at that position. Meteorological measurements may be used to obtain the flow characteristics. Wind measurements performed at one location may be numerically extrapolated by numerical methods, e.g. by CFD, to other locations. The maintenance parameter may be expressed as a maintenance risk, number of component replacements, or as a maintenance cost per energy unit. Three-dimensional visualization of wind turbines, e.g. in GoogleEarth™ is further provided by the invention.",Wind turbine siting and maintenance prediction,,0
15012,"Methods for increasing osteoinductivity and/or surface area of bone material are provided. The methods include providing bone material and dehydrating the bone material with a solvent at its critical point. A useful solvent for critical point dehydrating is carbon dioxide. Critical point dehydration resulting in increased osteoinductivity and/or surface area can be applied to many types of bone material including bone particles, bone chips, bone fibers, bone matrices, both demineralized and non-demineralized. An implantable composition having an enhanced osteoinductivity and/or osteoconductivity is also provided. The implantable composition contains demineralized bone matrix dried at critical point of carbon dioxide. Critical point dried fibers of a demineralized bone matrix have a BET value from about 40 m2/gm to about 100 m2/gm, a value that is 100 times higher than corresponding vacuum dried or lyophilized DBM fibers.",Method of preparing bone material having enhanced osteoinductivity,,0
15015,"A bed bug trap includes heat, carbon dioxide and/or semiochemicals (pheromones and/or kairomones), to attract and trap bed bugs. The trap may be combined with the appearance and/or function of another appliance, such as an air freshener. The release of semiochemicals may be combined with the release of air freshening compositions. The bed bug trap may provide one attraction mode, or two attraction modes, namely one which uses heat, carbon dioxide and/or kairomones to attract bed bugs seeking a meal, and the other which uses pheromones to attract bed bugs seeking a safe harbor, i.e. a hiding place. The bed bug trap may be combined with a wide variety of appliances, such as air fresheners, alarm clocks, clock radios, humidifiers, desk or table lamps, power bars, etc.",Bed bug trap,,0
15018,A carbon dioxide sensor for use in a respiratory therapy system. The carbon dioxide sensor determines whether a patient interface is fluidly coupled to a patient.,Patient circuit integrity alarm using exhaled CO2,,0
15050,"The invention relates to a process for removing a target gas from a gas stream rich in the target gas and to an absorbent solution for absorbing a gas, such as carbon dioxide, from a gas stream. The invention involves the use of a photoactive compound that is convertible from a first state to a second state upon irradiation to facilitate removal or collection of a target gas from a gas stream.",Reversible light driven gas absorbent solution and process,,0
15051,"Vortex gas separation is forced in radial counterflow between counter-rotating coaxial centrifugal impellers. Feed is at the axis of rotation. Axial extraction of nitrogen and water vapor is driven by an axial pump and by back pressure from the tank while radially outward flow of carbon dioxide and scrubbing targets is driven by the impellers. Scrubbing of the concentrated targets is in high turbulence during a long residence time.Tiny centrifugation effects of innumerable turbulent eddy vortices in a shear layer between the impellers and in the tank are integrated by the forcing regime of the impellers and the axial pump. Radial vortices caused by shear between the counter-rotating impellers provide coherent sink flow conduits for axial extraction of nitrogen ballast. Fine fly ash (PM-2.5) scrubbing is concurrent with NOx and SOx scrubbing and with carbon capture. Mechanically assisted and highly turbulent wet scrubbing shear thickens fine fly ash and precipitates into clumps of sludge, so the wastewater stream is easily treatable and requires no large storage tank.",Radial counterflow carbon capture and flue gas scrubbing,,0
15325,"For mitigating unauthorized content claims, an identification module ranks a plurality of content according to a value policy. The plurality of content is provided through a content host. Each content item of the plurality of content is associated with at least one authorized claimant. The identification module further identifies an unauthorized claim for a content item of the plurality of content by an unauthorized claimant. A mitigation module mitigates the unauthorized claim.",Mitigating unauthorized content claims,,0
15370,"The present invention comprises a blend of polyester and a partially aromatic polyamide with an ionic compatibilizer and a cobalt salt. This blend can be processed into a container that has both active and passive oxygen barrier and carbon dioxide barrier properties at an improved color and clarity than containers known in the art. The partially aromatic polyamide is preferably meta-xylylene adipamide. The ionic compatibilizer is preferably 5-sodiumsulfoisophthalic acid or 5-zincsulfoisophthalic acid, or their dialkyl esters such as the dimethyl ester (SIM) and glycol ester (SIPEG). The cobalt salt is selected form the class of cobalt acetate, cobalt carbonate, cobalt chloride, cobalt hydroxide, cobalt naphthenate, cobalt oleate, cobalt linoleate, cobalt octoate, cobalt stearate, cobalt nitrate, cobalt phosphate, cobalt sulfate, cobalt (ethylene glycolate), or mixtures of two or more of these. The partially aromatic polyamide is present in a range from about 1 to about 10 wt. % of said composition. The ionic compatibilizer is present in a range from about 0.1 to about 2.0 mol-% of said composition. The cobalt salt is present in a range from about 20 to about 500 ppm of said composition.",Method to make single-layer PET bottles with high barrier and improved clarity,,0
15391,"Aspects and embodiments of the instant disclosure provide therapeutic methods and compositions comprising interleukin 12 (IL-12) useful for treating radiation-induced damage in a subject. In particular, the instant disclosure provides methods and compositions for radiation protection and/or radiation toxicity mitigation for the treatment of acute radiation syndrome and radiation induced toxicity associated with the treatment of cutaneous T-cell lymphoma.",IL-12 for radiation protection and radiation-induced toxicity mitigation,,0
15432,"A process is provided for preparing calcium carbonate hydroxodialuminates which have a hexagonal platelet-shaped crystal habit and are of the formula (A):CamAl2(OH)6+2(m−1)An*nH2O  (A)where m=3.5 to 4.5 and An=carbonate which may be partly replaced by perchlorate and/or trifluoromethanesulfonate (triflate) and n=0 to 6, comprising the steps of reacting calcium oxide or calcium hydroxide with optionally activated aluminum oxohydroxide or aluminum hydroxide and simultaneously or subsequently with a carbonate source consisting of carbon dioxide or alkali metal (bi)carbonate and optionally further reacting the product obtained in step (a) with perchloric acid and/or trifluoromethanesulfonic acid or optionally calcining the product obtained in step (a) at 200° C. to 900° C. and subsequently exchanging ions in the presence of a perchlorate and/or triflate salt, optionally in the presence of alkali metal (bi)carbonate, in water. The present invention further relates to the aluminates thus obtained in compositions and stabilizer systems and to the use thereof.",Calcium carbonate hydroxodialuminates comprising a hexagonal platelet-shaped crystal habit,,0
15523,A desulphurization and decarbonisation apparatus includes (a) a starter for starting a reaction between an electropositive metal and sulphur oxides and carbon dioxide of a flue gas; (b) a first reaction chamber with a cooling unit for reducing the sulphur oxides and the carbon dioxide of the flue gas in an exothermic reaction with the electropositive metal; (c) a second reaction chamber for generating a first suspension including suspended carbon containing reaction products and sulphur containing reaction products by extracting solid reaction products of the first reaction chamber in a solvent; (d) a third reaction chamber for oxidizing the first suspension to generate a second suspension including suspended carbon containing reaction products and oxidized sulphur containing reaction products; and (e) a separator for separating the oxidized sulphur containing reaction products from the suspended carbon containing reaction products.,Method and an apparatus for performing an energy efficient desulphurization and decarbonisation of a flue gas,,0
15649,"There is provided an insufflation system and an insufflation apparatus which can prevent a pressure inside a lumen from rapidly increasing and can achieve operability matched to a sense an operator. The insufflation apparatus is connected to an endoscope and an insertion assisting tool which guides the endoscope into the gastrointestinal tract. Carbon dioxide can be insufflated into a gastrointestinal tract of a patient through an internal conduit of the endoscope according to an operator's operation (manual insufflation). When the operator instructs the insufflation apparatus to perform the automatic insufflation, carbon dioxide is intermittently insufflated into the gastrointestinal tract through the insertion assisting tool so as to make the pressure inside the gastrointestinal tract become a set pressure (automatic insufflation). The insufflation flow rate of the manual insufflation is switched between the high flow rate and the low flow rate according to ON/OFF state of the automatic insufflation.",Insufflation system and insufflation apparatus,,0
15709,"The present invention relates to carriers for the controlled release of active agents, comprising surface reacted natural or synthetic calcium carbonate, one or more active agents, wherein said one or more active agent is associated with said surface-reacted calcium carbonate, and wherein said surface-reacted natural or synthetic calcium carbonate is a reaction product of natural or synthetic calcium carbonate with carbon dioxide and one or more acids, wherein the carbon dioxide is formed in situ by the acid treatment and/or is supplied from an external source. It further relates to the preparation of loaded carriers, as well as their use in different applications.",Controlled release active agent carrier,,0
